Date;Certified_Stocks
;Close
23.07.2021;2177706
22.07.2021;2180375
21.07.2021;2190238
20.07.2021;2187463
19.07.2021;2187463
16.07.2021;2188158
15.07.2021;2185341
14.07.2021;2181586
13.07.2021;2178088
12.07.2021;2174983
09.07.2021;2169958
08.07.2021;2163375
07.07.2021;2160878
06.07.2021;2170524
02.07.2021;2171324
01.07.2021;2171324
30.06.2021;2189155
29.06.2021;2185878
28.06.2021;2178300
25.06.2021;2179262
24.06.2021;2176947
23.06.2021;2175545
22.06.2021;2168547
21.06.2021;2162757
18.06.2021;2162757
17.06.2021;2154779
16.06.2021;2146156
15.06.2021;2139767
14.06.2021;2137465
11.06.2021;2131727
10.06.2021;2124530
09.06.2021;2115977
08.06.2021;2109297
07.06.2021;2106020
04.06.2021;2096713
03.06.2021;2085890
02.06.2021;2079583
01.06.2021;2075018
28.05.2021;2075788
27.05.2021;2066708
26.05.2021;2067018
25.05.2021;2065506
24.05.2021;2067706
21.05.2021;2049936
20.05.2021;2035721
19.05.2021;2028505
18.05.2021;2017765
17.05.2021;2018660
14.05.2021;2018710
13.05.2021;2020210
12.05.2021;2014770
11.05.2021;2005124
10.05.2021;1999684
07.05.2021;1993853
06.05.2021;1984253
05.05.2021;1983023
04.05.2021;1964845
03.05.2021;1945005
30.04.2021;1936685
29.04.2021;1922815
28.04.2021;1918545
27.04.2021;1908625
26.04.2021;1903825
23.04.2021;1900710
22.04.2021;1900260
21.04.2021;1898277
20.04.2021;1898555
19.04.2021;1894045
16.04.2021;1883915
15.04.2021;1875356
14.04.2021;1876231
13.04.2021;1870826
12.04.2021;1861134
09.04.2021;1861134
08.04.2021;1857303
07.04.2021;1863200
06.04.2021;1855075
05.04.2021;1855075
02.04.2021;1855075
01.04.2021;1845586
31.03.2021;1843116
30.03.2021;1831885
29.03.2021;1834930
26.03.2021;1835263
25.03.2021;1835513
24.03.2021;1829244
23.03.2021;1835154
22.03.2021;1840604
19.03.2021;1840604
18.03.2021;1840889
17.03.2021;1845832
16.03.2021;1840433
15.03.2021;1834729
12.03.2021;1836409
11.03.2021;1836918
10.03.2021;1831143
09.03.2021;1827663
08.03.2021;1815568
05.03.2021;1806933
04.03.2021;1797622
03.03.2021;1790051
02.03.2021;1786190
01.03.2021;1784441
26.02.2021;1771916
25.02.2021;1762415
24.02.2021;1764474
23.02.2021;1757390
22.02.2021;1739391
19.02.2021;1733624
18.02.2021;1736174
17.02.2021;1739310
16.02.2021;1724480
15.02.2021;1720253
12.02.2021;1715133
11.02.2021;1706555
10.02.2021;1688231
09.02.2021;1675880
08.02.2021;1662830
05.02.2021;1652245
04.02.2021;1638515
03.02.2021;1621180
29.01.2021;1622191
28.01.2021;1618809
27.01.2021;1617376
26.01.2021;1609775
25.01.2021;1602404
22.01.2021;1588980
21.01.2021;1571125
20.01.2021;1556920
19.01.2021;1542125
18.01.2021;1527991
15.01.2021;1519310
14.01.2021;1527902
13.01.2021;1515479
12.01.2021;1516893
11.01.2021;1497338
08.01.2021;1484998
07.01.2021;1467023
06.01.2021;1458773
31.12.2020;1419902
30.12.2020;1420202
29.12.2020;1426169
28.12.2020;1401139
24.12.2020;1396226
23.12.2020;1396501
22.12.2020;1382686
21.12.2020;1373816
18.12.2020;1370191
17.12.2020;1371566
16.12.2020;1375622
15.12.2020;1356542
14.12.2020;1335059
11.12.2020;1323814
10.12.2020;1313995
09.12.2020;1316135
08.12.2020;1312843
07.12.2020;1298868
04.12.2020;1293893
03.12.2020;1291796
02.12.2020;1273120
01.12.2020;1260475
30.11.2020;1244111
27.11.2020;1244937
25.11.2020;1246345
24.11.2020;1247191
23.11.2020;1237333
20.11.2020;1235915
19.11.2020;1229956
18.11.2020;1222886
17.11.2020;1206686
16.11.2020;1200762
13.11.2020;1197512
12.11.2020;1192586
11.11.2020;1192616
10.11.2020;1185869
09.11.2020;1179789
06.11.2020;1170434
