Date;LRC-TOT-VG (COMM_LAST)
;Close
12.8.2021;14174
11.8.2021;14226
10.8.2021;14242
09.8.2021;14282
06.8.2021;14284
05.8.2021;14286
04.8.2021;14327
03.8.2021;14398
02.8.2021;14418
30.7.2021;14441
29.7.2021;14451
28.7.2021;14461
27.7.2021;14511
26.7.2021;14511
23.7.2021;14516
22.7.2021;14523
21.7.2021;14523
20.7.2021;14581
19.7.2021;14607
16.7.2021;14619
15.7.2021;14686
14.7.2021;14706
13.7.2021;14726
12.7.2021;14732
09.7.2021;14822
08.7.2021;14859
07.7.2021;14881
06.7.2021;14913
05.7.2021;14913
02.7.2021;14923
01.7.2021;14959
30.6.2021;14971
29.6.2021;15085
28.6.2021;15090
25.6.2021;15095
24.6.2021;15181
23.6.2021;15255
22.6.2021;15269
21.6.2021;15276
17.6.2021;15318
15.6.2021;15421
14.6.2021;15428
11.6.2021;15465
09.6.2021;15486
08.6.2021;15518
07.6.2021;15598
04.6.2021;15614
02.6.2021;15700
01.6.2021;15760
28.5.2021;15846
27.5.2021;15850
26.5.2021;15876
25.5.2021;15920
24.5.2021;15905
21.5.2021;15954
20.5.2021;16017
19.5.2021;15899
18.5.2021;15913
17.5.2021;15934
14.5.2021;15861
13.5.2021;15780
12.5.2021;15711
11.5.2021;15659
10.5.2021;15594
07.5.2021;15599
06.5.2021;15476
05.5.2021;15451
04.5.2021;15409
30.4.2021;15248
29.4.2021;15271
28.4.2021;15118
27.4.2021;15092
26.4.2021;14983
23.4.2021;14855
22.4.2021;14765
21.4.2021;14779
20.4.2021;14733
19.4.2021;14718
16.4.2021;14723
15.4.2021;14680
14.4.2021;14652
13.4.2021;14662
12.4.2021;14671
09.4.2021;14732
08.4.2021;14742
07.4.2021;14756
06.4.2021;14768
01.4.2021;14805
31.3.2021;14837
29.3.2021;14906
26.3.2021;14937
25.3.2021;14952
24.3.2021;14839
23.3.2021;14827
22.3.2021;14778
19.3.2021;14698
18.3.2021;14627
17.3.2021;14550
16.3.2021;14416
15.3.2021;14360
12.3.2021;14449
11.3.2021;14361
10.3.2021;14364
09.3.2021;14391
08.3.2021;14394
05.3.2021;14396
04.3.2021;14397
03.3.2021;14402
02.3.2021;14423
01.3.2021;14431
26.2.2021;14431
25.2.2021;14470
24.2.2021;14480
23.2.2021;14488
22.2.2021;14522
19.2.2021;14537
18.2.2021;14472
17.2.2021;14354
16.2.2021;14307
15.2.2021;14290
12.2.2021;14279
11.2.2021;14261
10.2.2021;14307
09.2.2021;14337
08.2.2021;14341
05.2.2021;14306
04.2.2021;14261
03.2.2021;14221
02.2.2021;14255
29.1.2021;14237
28.1.2021;14251
27.1.2021;14298
26.1.2021;14252
25.1.2021;14254
22.1.2021;14260
21.1.2021;14272
20.1.2021;14255
19.1.2021;14187
18.1.2021;14168
14.1.2021;14170
13.1.2021;14141
12.1.2021;14197
11.1.2021;14159
06.1.2021;13991
05.1.2021;13923
04.1.2021;13846
31.12.2020;13807
30.12.2020;13761
29.12.2020;13689
28.12.2020;13774
24.12.2020;13774
23.12.2020;13779
22.12.2020;13669
21.12.2020;13575
18.12.2020;13477
17.12.2020;13523
16.12.2020;13364
15.12.2020;13400
14.12.2020;13410
11.12.2020;13331
10.12.2020;13335
09.12.2020;13433
08.12.2020;13433
07.12.2020;13376
04.12.2020;13378
03.12.2020;13315
02.12.2020;13283
01.12.2020;13302
30.11.2020;13275
27.11.2020;13289
26.11.2020;13334
25.11.2020;13339
24.11.2020;13348
23.11.2020;13357
20.11.2020;13349
18.11.2020;13296
17.11.2020;13312
16.11.2020;13328
13.11.2020;13333
12.11.2020;13233
11.11.2020;13233
10.11.2020;13121
09.11.2020;12989
06.11.2020;12888
05.11.2020;12782
04.11.2020;12676
03.11.2020;12519
02.11.2020;12456
30.10.2020;12406
29.10.2020;12431
28.10.2020;12245
27.10.2020;12093
26.10.2020;11882
23.10.2020;11757
22.10.2020;11763
21.10.2020;11532
20.10.2020;11343
19.10.2020;11148
16.10.2020;11007
15.10.2020;10929
14.10.2020;10808
13.10.2020;10824
12.10.2020;10824
09.10.2020;10839
08.10.2020;10842
07.10.2020;10842
06.10.2020;10848
05.10.2020;10875
02.10.2020;10903
01.10.2020;10934
30.9.2020;10934
29.9.2020;10934
28.9.2020;10948
25.9.2020;10948
24.9.2020;10950
23.9.2020;10954
22.9.2020;10956
21.9.2020;10960
18.9.2020;10982
17.9.2020;10982
16.9.2020;10997
15.9.2020;11001
14.9.2020;11005
11.9.2020;11000
10.9.2020;11000
09.9.2020;11026
08.9.2020;10967
07.9.2020;11011
04.9.2020;11050
03.9.2020;11000
02.9.2020;10977
01.9.2020;10977
28.8.2020;10908
27.8.2020;10938
26.8.2020;10908
25.8.2020;10908
24.8.2020;10908
21.8.2020;10963
20.8.2020;10945
19.8.2020;10953
18.8.2020;10959
17.8.2020;10960
14.8.2020;10960
13.8.2020;10984
12.8.2020;10998
11.8.2020;10998
10.8.2020;11018
07.8.2020;11038
06.8.2020;11066
05.8.2020;11076
04.8.2020;11091
03.8.2020;11104
31.7.2020;11141
30.7.2020;11166
29.7.2020;11191
28.7.2020;11204
27.7.2020;11220
24.7.2020;11301
23.7.2020;11313
22.7.2020;11325
21.7.2020;11338
20.7.2020;11352
